"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"852",766,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",3,2015-12-14,"15/16","1.5","2.8","2.8",NA,NA,NA,NA,NA,NA,2.36666666666667,2.8,0.750555349946513,31.7136063357682,766,"0.2","0.2","0.2","0.2","0.2","2.6",NA,NA,NA,NA,NA,0.6,0.2,0.979795897113271,163.299316185545
"853",767,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 110","p",3,2015-12-14,"15/16","0.6","1.8","1.8",NA,NA,NA,NA,NA,NA,1.4,1.8,0.692820323027551,49.4871659305394,767,"1.6","3.4","4.2","4.2","4.2","4.2","4.2","7.4",NA,NA,NA,4.175,4.2,1.58722579184113,38.0173842357158
"854",768,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",3,2015-12-14,"15/16","0.5","1.6","1.8",NA,NA,NA,NA,NA,NA,1.3,1.6,0.7,53.8461538461539,768,"0.4","0.4","0.8","0.8","0.8","0.8","0.8","2",NA,NA,NA,0.85,0.8,0.49856938190329,58.655221400387
"855",769,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",3,2015-12-14,"15/16","0.6","1.8","2.4",NA,NA,NA,NA,NA,NA,1.6,1.8,0.916515138991168,57.282196186948,769,"1.4","1.6","1.8","1.8","1.8","1.8","1.8","3.8",NA,NA,NA,1.975,1.8,0.751664818918645,38.058978173096
"856",770,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","45/57-7-3-1/4","chc",3,2015-12-14,"15/16","0.8","2.2","2.2",NA,NA,NA,NA,NA,NA,1.73333333333333,2.2,0.808290376865476,46.6321371268544,770,"0.2","0.8","1","1","1","1","1","1.8",NA,NA,NA,0.975,1,0.433424898750802,44.453835769313
"857",771,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",3,2015-12-14,"15/16","2","5","5",NA,NA,NA,NA,NA,NA,4,5,1.73205080756888,43.3012701892219,771,"0.4","0.4","0.4","0.4","0.4","0.4","0.4","1.2",NA,NA,NA,0.5,0.4,0.282842712474619,56.5685424949238
"858",772,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","49/61-1/2","chc",3,2015-12-14,"15/16","0.4","1.2","1.2",NA,NA,NA,NA,NA,NA,0.933333333333333,1.2,0.461880215351701,49.4871659305393,772,"0.4","0.4","0.4","0.4","0.4","0.4","0.4","2.4",NA,NA,NA,0.65,0.4,0.707106781186547,108.785658644084
"859",773,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","45/57-7-3-1/4","chc",4,2015-12-14,"15/16","0.2","1","1.2",NA,NA,NA,NA,NA,NA,0.8,1,0.529150262212918,66.1437827766148,773,"0.2","0.2","0.2","0.2","0.2","0.2","0.2","1.2",NA,NA,NA,0.325,0.2,0.353553390593274,108.785658644084
"860",774,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",4,2015-12-14,"15/16","0.8","2","2",NA,NA,NA,NA,NA,NA,1.6,2,0.692820323027551,43.3012701892219,774,"0.4","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0,0
"861",775,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",4,2015-12-14,"15/16","0.5","1.8","2.6",NA,NA,NA,NA,NA,NA,1.63333333333333,1.8,1.05987420637231,64.8902575329986,775,"0.2","0.4","0.6","0.6","0.6","0.6","0.6","1.2",NA,NA,NA,0.6,0.6,0.282842712474619,47.1404520791032
"862",776,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA LBA08","chc",4,2015-12-14,"15/16","0.2","0.8","0.8",NA,NA,NA,NA,NA,NA,0.6,0.8,0.346410161513775,57.7350269189626,776,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,NA,NA
"863",777,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",4,2015-12-14,"15/16","1.5","3.8","3.8",NA,NA,NA,NA,NA,NA,3.03333333333333,3.8,1.32790561913614,43.7771083231694,777,"0.2","0.2","0.2","0.2","0.2","0.2","2.4",NA,NA,NA,NA,0.514285714285714,0.2,0.8315218406203,161.684802342836
"864",778,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",4,2015-12-14,"15/16","1","2.2","2.2",NA,NA,NA,NA,NA,NA,1.8,2.2,0.692820323027551,38.4900179459751,778,"0.2","0.2","0.2","0.2","0.2","3",NA,NA,NA,NA,NA,0.666666666666667,0.2,1.14309521329882,171.464281994822
"865",779,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",4,2015-12-14,"15/16","1.2","2.6","2.8",NA,NA,NA,NA,NA,NA,2.2,2.6,0.871779788708135,39.6263540321879,779,"0.2","0.6","1","1","1","1","1","3.2",NA,NA,NA,1.125,1,0.887613171858746,78.8989486096663
