"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11"
"59",59,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",3,2017-12-15,2018-03-15,"17/18",0.5,1.5,2,2,NA,NA,NA,NA,NA,0.1,0.1,1,1,1,NA,NA,NA,NA,NA,NA
"60",60,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",3,2017-12-15,2018-03-15,"17/18",0.5,2,2.5,2,NA,NA,NA,NA,NA,0.2,0.2,0.7,0.7,0.7,NA,NA,NA,NA,NA,NA
"61",61,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",3,2017-12-15,2018-03-15,"17/18",1.5,6.5,7,NA,NA,NA,NA,NA,NA,0.5,2,3.5,5,5,5,NA,NA,NA,NA,NA
"62",62,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",3,2017-12-15,2018-03-15,"17/18",0.4,2,5,NA,NA,NA,NA,NA,NA,0.2,1,1,1,NA,NA,NA,NA,NA,NA,NA
"63",63,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",3,2017-12-15,2018-03-15,"17/18",0.5,2,3.5,NA,NA,NA,NA,NA,NA,0.2,1,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA
"64",64,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",3,2017-12-15,2018-03-15,"17/18",0.8,2.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA
"65",65,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",3,2017-12-15,2018-03-15,"17/18",0.8,3,5.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA
"66",66,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",3,2017-12-15,2018-03-15,"17/18",1.5,4,5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA
"67",67,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",3,2017-12-15,2018-03-15,"17/18",0.2,2,3.5,NA,NA,NA,NA,NA,NA,0.1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA
"68",68,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",3,2017-12-15,2018-03-15,"17/18",0.1,1,1,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
